vhskala,glad,alder,aarsuddannelse,kvinde,barnhjemme,menneskeligforandring,religioes,godthelbred,klimafrygt
2,8,40,13,1,1,0,1,4,6
5,8,21,18,0,0,1,0,5,10
4,9,62,15,1,0,1,1,5,13
2,5,60,12,0,0,0,1,5,14
3,9,29,13,1,0,1,0,5,19
5,9,26,12,0,0,1,0,5,10
2,8,59,5,0,1,1,1,3,9
7,7,49,12,1,0,1,1,4,15
1,8,22,15,0,0,1,0,5,16
8,7,70,8,1,0,1,0,4,9
5,7,45,20,0,0,1,0,3,19
2,7,77,20,1,0,1,1,4,14
4,9,66,13,1,0,1,0,5,12
6,8,48,14,1,0,1,0,4,13
8,8,34,18,0,0,0,1,4,15
6,8,58,11,0,0,0,0,4,12
6,9,36,13,0,0,1,1,4,10
5,4,58,13,1,1,1,1,4,14
5,8,56,12,0,1,1,0,3,15
5,9,42,14,1,0,1,0,5,13
10,6,56,13,0,0,1,1,4,18
3,3,78,11,1,0,1,0,2,15
7,6,25,11,0,0,0,1,3,11
6,10,50,11,1,0,1,1,4,17
10,7,64,9,1,0,1,1,3,11
3,7,54,11,1,1,1,0,2,9
9,9,36,13,1,1,1,1,5,11
4,9,30,11,1,0,1,0,5,9
4,7,66,9,1,0,1,1,4,10
5,7,44,19,0,1,1,1,5,5
5,8,53,12,0,1,1,1,4,10
10,8,62,9,0,0,0,1,3,1
5,9,57,12,0,0,0,1,4,10
5,7,63,9,1,0,1,1,3,12
3,7,37,22,1,0,1,0,4,16
0,9,26,13,0,0,1,1,5,3
2,9,26,17,0,0,1,0,5,18
5,8,60,13,0,0,0,0,5,14
5,7,55,18,0,0,1,0,4,17
6,8,29,15,1,1,1,1,4,14
1,7,74,14,0,0,1,0,4,12
7,5,45,15,0,0,1,1,4,12
0,10,28,13,1,0,1,1,5,13
5,9,34,13,0,1,1,1,4,6
4,8,61,12,0,0,1,1,4,4
3,8,56,12,0,0,1,1,4,13
5,7,27,13,0,0,1,0,5,12
5,10,39,20,1,1,1,0,5,19
3,10,24,13,1,0,1,0,5,17
4,8,46,16,1,0,1,0,4,6
3,9,20,12,1,0,1,0,4,17
5,8,33,9,1,1,1,1,4,10
5,9,37,11,0,1,1,1,4,16
5,7,47,14,0,1,1,1,4,13
6,4,43,12,1,0,0,0,5,8
5,10,60,11,1,0,1,1,3,16
7,8,42,16,0,0,1,1,5,13
9,9,34,11,0,1,1,0,5,12
4,10,46,15,0,1,1,0,5,16
5,8,43,12,0,1,1,1,4,17
7,8,46,13,1,1,1,1,2,15
5,5,50,12,1,1,0,1,4,11
8,3,46,12,0,0,1,0,1,8
8,7,50,14,0,0,1,0,2,16
5,7,78,8,1,0,1,1,2,4
4,5,56,15,1,0,1,1,4,10
5,9,37,12,1,1,1,0,5,13
3,8,27,19,0,0,1,1,4,16
2,9,20,12,1,1,1,0,5,11
4,7,59,13,0,1,1,1,4,11
7,9,63,13,1,0,1,0,3,18
4,7,24,12,0,0,1,0,5,12
5,9,82,12,1,0,1,1,4,12
0,3,46,19,0,1,1,0,4,17
10,8,74,14,0,0,1,1,2,11
3,9,19,13,0,0,1,1,5,10
4,9,29,18,1,0,1,1,4,15
2,9,45,12,0,1,1,1,5,16
5,10,33,12,0,0,1,0,5,13
5,6,66,9,0,0,1,1,3,12
3,10,75,15,1,0,1,1,3,13
5,8,59,12,1,0,1,0,3,13
6,7,45,11,1,1,1,1,4,11
5,9,70,13,0,0,1,0,3,12
5,8,62,13,1,0,1,1,3,14
6,7,71,12,0,0,0,0,3,8
8,9,31,12,0,0,1,0,4,13
5,5,64,12,1,0,1,1,4,8
5,9,40,13,1,1,1,1,5,9
8,7,59,14,0,0,1,1,5,13
7,9,77,12,0,0,1,1,4,5
7,8,73,11,1,0,1,1,4,12
7,7,26,12,0,0,1,0,5,7
5,9,42,12,1,1,1,1,5,10
5,7,51,12,0,1,1,1,4,15
5,8,38,15,0,0,1,0,5,6
4,8,46,12,1,0,1,1,2,13
3,7,29,22,1,0,1,0,3,13
5,9,30,17,1,1,1,0,5,8
4,9,34,13,1,1,1,1,5,7
5,7,68,12,0,0,1,0,3,11
8,5,40,9,0,1,0,1,4,12
2,8,19,13,0,0,1,1,4,13
5,8,35,14,1,1,1,1,4,12
5,6,67,8,1,0,1,1,5,8
5,9,77,9,1,0,1,1,4,15
5,8,47,12,0,0,1,1,5,11
8,10,29,9,0,1,1,0,4,14
5,8,59,14,1,0,1,0,4,11
